transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
679,2022-08-26,8:59:00,1,Female,18,Beauty,,,,
1679,2022-09-23,8:08:00,1,Female,18,Beauty,3,30,15.3,90
530,2022-05-01,7:52:00,1,Female,18,Electronics,4,30,9,120
1530,2022-12-10,8:17:00,1,Female,18,Electronics,4,30,12.3,120
714,2022-10-29,8:50:00,1,Female,18,Clothing,1,500,190,500
1714,2022-11-23,6:07:00,1,Female,18,Clothing,1,500,245,500
514,2022-11-04,8:35:00,1,Female,18,Electronics,1,300,96,300
1514,2022-07-12,10:55:00,1,Female,18,Electronics,1,300,75,300
461,2023-07-18,10:33:00,1,Female,18,Beauty,2,500,265,1000
1461,2023-05-01,8:43:00,1,Female,18,Beauty,2,500,180,1000
847,2023-01-10,8:42:00,2,Female,18,Electronics,4,300,162,1200
1847,2023-07-28,7:14:00,2,Female,18,Electronics,4,300,123,1200
283,2023-06-01,20:08:00,2,Female,18,Electronics,1,500,165,500
1283,2023-10-14,20:15:00,2,Female,18,Electronics,1,500,130,500
305,2023-03-22,22:09:00,2,Female,18,Beauty,1,30,14.4,30
1305,2023-04-05,18:24:00,2,Female,18,Beauty,1,30,7.8,30
37,2023-05-26,22:42:00,2,Female,18,Beauty,3,25,8.75,75
1037,2023-10-17,17:38:00,2,Female,18,Beauty,3,25,11.5,75
556,2022-02-05,17:37:00,2,Female,18,Electronics,1,50,12.5,50
1556,2023-05-17,19:13:00,2,Female,18,Electronics,1,50,22.5,50
326,2023-11-23,19:51:00,2,Female,18,Clothing,3,25,24.25,75
1326,2023-09-01,22:35:00,2,Female,18,Clothing,3,25,28.75,75
595,2022-10-15,21:35:00,2,Female,18,Clothing,4,500,210,2000
1595,2023-10-04,17:44:00,2,Female,18,Clothing,4,500,255,2000
74,2023-10-05,19:50:00,2,Female,18,Beauty,4,500,205,2000
1074,2022-10-04,20:18:00,2,Female,18,Beauty,4,500,230,2000
469,2023-03-21,19:24:00,3,Male,18,Beauty,3,25,8.75,75
1469,2023-12-08,17:22:00,3,Male,18,Beauty,3,25,12.5,75
148,2023-07-03,20:39:00,3,Male,18,Clothing,2,30,9.9,60
1148,2023-08-11,22:04:00,3,Male,18,Clothing,2,30,10.8,60
837,2023-01-15,20:35:00,3,Male,18,Beauty,3,30,7.5,90
1837,2023-03-29,20:45:00,3,Male,18,Beauty,3,30,8.1,90
538,2023-12-22,18:20:00,3,Male,18,Clothing,3,50,56.5,150
1538,2022-09-12,20:57:00,3,Male,18,Clothing,3,50,53.5,150
22,2023-11-25,17:11:00,3,Male,18,Clothing,2,50,60.5,100
1022,2023-09-05,17:49:00,3,Male,18,Clothing,2,50,52.5,100
58,2023-09-16,19:18:00,3,Male,18,Clothing,4,300,75,1200
1058,2022-10-30,18:31:00,3,Male,18,Clothing,4,300,153,1200
169,2022-11-28,18:47:00,3,Male,18,Beauty,3,500,145,1500
1169,2022-09-25,17:12:00,3,Male,18,Beauty,3,500,255,1500
62,2023-09-16,12:54:00,3,Male,18,Beauty,2,50,26.5,100
1062,2022-12-20,16:05:00,3,Male,18,Beauty,2,50,21.5,100
979,2022-05-18,10:18:00,4,Female,19,Beauty,1,25,10.5,25
1979,2022-08-17,11:34:00,4,Female,19,Beauty,1,25,7.75,25
1367,2022-04-15,11:38:00,4,Female,19,Electronics,1,50,15.5,50
484,2022-03-13,7:52:00,4,Female,19,Clothing,4,300,75,1200
1484,2022-11-23,9:29:00,4,Female,19,Clothing,4,300,147,1200
300,2022-01-08,9:41:00,4,Female,19,Electronics,4,50,26.5,200
1300,2022-08-08,8:57:00,4,Female,19,Electronics,4,50,24,200
985,2023-06-13,22:33:00,4,Female,19,Electronics,2,25,9,50
1985,2023-03-31,20:15:00,4,Female,19,Electronics,2,25,9.75,50
709,2022-09-22,22:32:00,4,Female,19,Electronics,2,500,140,1000
1709,2023-09-13,20:22:00,4,Female,19,Electronics,2,500,185,1000
364,2022-06-07,19:06:00,4,Female,19,Beauty,1,500,200,500
1364,2023-09-23,17:04:00,4,Female,19,Beauty,1,500,250,500
594,2023-09-07,21:49:00,4,Female,19,Electronics,2,300,291,600
1594,2023-10-01,19:02:00,4,Female,19,Electronics,2,300,345,600
412,2022-09-04,19:36:00,4,Female,19,Electronics,4,500,570,2000
1412,2022-10-13,19:59:00,4,Female,19,Electronics,4,500,615,2000
677,2022-12-17,21:13:00,4,Female,19,Beauty,3,500,555,1500
1677,2022-10-02,20:51:00,4,Female,19,Beauty,3,500,490,1500
628,2023-12-23,18:00:00,4,Female,19,Beauty,4,50,59.5,200
1628,2022-12-28,22:23:00,4,Female,19,Beauty,4,50,58.5,200
266,2022-09-12,18:26:00,4,Female,19,Electronics,2,30,14.4,60
1266,2023-09-03,20:08:00,4,Female,19,Electronics,2,30,15.6,60
303,2022-04-22,11:09:00,5,Male,19,Electronics,3,30,14.7,90
1303,2022-03-19,8:59:00,5,Male,19,Electronics,3,30,15,90
391,2022-03-25,7:37:00,5,Male,19,Beauty,2,25,6.25,50
16,2022-06-25,10:33:00,5,Male,19,Clothing,3,500,180,1500
1016,2022-12-12,7:39:00,5,Male,19,Clothing,3,500,200,1500
257,2022-12-10,8:49:00,5,Male,19,Beauty,4,500,165,2000
1257,2022-05-10,11:55:00,5,Male,19,Beauty,4,500,255,2000
117,2023-08-04,11:38:00,5,Male,19,Electronics,2,500,230,1000
1117,2023-09-11,7:48:00,5,Male,19,Electronics,2,500,210,1000
601,2023-06-05,9:23:00,6,Male,19,Clothing,1,30,13.2,30
1601,2023-09-14,11:48:00,6,Male,19,Clothing,1,30,13.5,30
181,2023-11-06,19:59:00,6,Male,19,Electronics,4,300,327,1200
1181,2022-11-06,18:28:00,6,Male,19,Electronics,4,300,354,1200
86,2023-09-29,18:55:00,6,Male,19,Beauty,3,30,15.6,90
1086,2023-09-14,19:50:00,6,Male,19,Beauty,3,30,16.5,90
812,2023-10-02,17:45:00,6,Male,19,Electronics,3,25,11.25,75
1812,2023-10-25,22:19:00,6,Male,19,Electronics,3,25,12,75
533,2022-11-13,17:19:00,6,Male,19,Electronics,3,500,155,1500
1533,2022-10-29,19:35:00,6,Male,19,Electronics,3,500,255,1500
940,2022-01-05,8:11:00,7,Female,20,Electronics,1,30,9.6,30
1940,2022-06-15,9:47:00,7,Female,20,Electronics,1,30,11.1,30
371,2022-12-18,10:01:00,7,Female,20,Beauty,1,25,13,25
1371,2022-05-06,6:52:00,7,Female,20,Beauty,1,25,13.5,25
910,2022-08-21,6:29:00,7,Female,20,Beauty,3,50,22.5,150
1910,2022-10-09,6:22:00,7,Female,20,Beauty,3,50,18,150
72,2023-12-06,19:19:00,7,Female,20,Electronics,4,500,195,2000
1072,2023-02-24,18:10:00,7,Female,20,Electronics,4,500,180,2000
906,2022-07-19,17:55:00,7,Female,20,Clothing,1,50,17,50
1906,2022-10-01,20:10:00,8,Female,20,Clothing,1,50,26.5,50
542,2023-06-01,18:41:00,8,Female,20,Beauty,1,50,24,50
1542,2023-05-17,20:30:00,8,Female,20,Beauty,1,50,14.5,50
839,2023-11-11,21:02:00,8,Female,20,Electronics,4,300,96,1200
1839,2022-08-28,21:57:00,8,Female,20,Electronics,4,300,156,1200
46,2022-11-08,17:50:00,8,Female,20,Electronics,4,300,84,1200
1046,2023-07-21,21:47:00,8,Female,20,Electronics,4,300,156,1200
878,2023-10-26,18:53:00,9,Female,20,Clothing,1,30,11.7,30
1878,2023-01-24,22:56:00,9,Female,20,Clothing,1,30,7.5,30
792,2023-01-04,22:50:00,9,Female,20,Beauty,1,50,26.5,50
1792,2023-08-26,17:37:00,9,Female,20,Beauty,1,50,26.5,50
557,2023-09-27,20:01:00,9,Female,20,Beauty,3,30,12.9,90
1557,2022-08-04,17:01:00,9,Female,20,Beauty,3,30,10.2,90
602,2023-12-12,16:46:00,9,Female,20,Electronics,1,300,96,300
1602,2022-12-01,15:17:00,9,Female,20,Electronics,1,300,126,300
133,2022-06-23,9:01:00,10,Male,20,Electronics,3,300,87,900
1133,2022-03-05,6:42:00,10,Male,20,Electronics,3,300,159,900
292,2022-10-10,6:33:00,10,Male,20,Beauty,4,300,141,1200
1292,2022-05-15,8:20:00,10,Male,20,Beauty,4,300,90,1200
135,2022-04-18,7:22:00,10,Male,20,Clothing,2,25,13,50
1135,2022-01-14,8:16:00,10,Male,20,Clothing,2,25,12.5,50
892,2023-09-13,11:39:00,10,Male,20,Electronics,1,50,24,50
1892,2023-10-01,7:22:00,10,Male,20,Electronics,1,50,23.5,50
186,2022-03-31,18:15:00,10,Male,20,Clothing,4,50,23.5,200
1186,2023-09-10,18:24:00,10,Male,20,Clothing,4,50,18.5,200
722,2023-02-24,18:35:00,10,Male,20,Beauty,3,300,162,900
1722,2022-01-30,20:38:00,10,Male,20,Beauty,3,300,159,900
563,2022-12-21,18:40:00,10,Male,20,Clothing,2,30,16.2,60
1563,2022-10-13,17:44:00,11,Male,20,Clothing,2,30,15.3,60
249,2022-09-28,20:17:00,11,Male,20,Clothing,1,50,53.5,50
1249,2022-12-10,21:44:00,11,Male,20,Clothing,1,50,60,50
214,2022-11-05,16:31:00,11,Male,20,Beauty,2,30,8.1,60
1214,2023-11-18,14:24:00,11,Male,20,Beauty,2,30,11.1,60
107,2022-10-06,9:18:00,12,Female,21,Clothing,4,300,78,1200
1107,2022-12-31,11:14:00,12,Female,21,Clothing,4,300,102,1200
